"feature_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Montipora_capitata_HIv3___RNAseq.g23004.t1",69278.9687171998,-9.65699427532075,0.162986372966434,-59.250317063682,0,0
"Montipora_capitata_HIv3___TS.g8083.t1",35864.3470626955,-8.04311870723225,0.211829476437596,-37.9697804219505,0,0
"Montipora_capitata_HIv3___RNAseq.g13832.t1",6506.90374536853,-5.44657784611452,0.141403943802394,-38.5178637855099,0,0
"Montipora_capitata_HIv3___RNAseq.g29568.t1",26694.6506120567,-8.00125154734375,0.184803572395342,-43.2959787715956,0,0
"Montipora_capitata_HIv3___TS.g45793.t1a",57741.643122332,-7.92480629148752,0.122749453761628,-64.5608273489918,0,0
"Montipora_capitata_HIv3___TS.g8082.t1",10696.1186349212,-8.56737504806787,0.194044479784823,-44.1516040939081,0,0
"Montipora_capitata_HIv3___RNAseq.g1557.t1",15892.0372192568,-8.25016135129852,0.186685703070213,-44.1927861406485,0,0
"Montipora_capitata_HIv3___TS.g18692.t1",38646.9816780279,-7.24885246932201,0.132447757306314,-54.7298996732535,0,0
"Montipora_capitata_HIv3___RNAseq.g23374.t1",7309.98241803958,-6.16074135518743,0.145226237751396,-42.4216825456406,0,0
"Montipora_capitata_HIv3___RNAseq.g34080.t1",37903.6648164735,-9.49537460823985,0.253165886800388,-37.5065326859247,7.2080287006981e-308,2.20666590643172e-304
"Montipora_capitata_HIv3___RNAseq.g24846.t1",3214.76987454652,-6.06095269875458,0.161675936252683,-37.4882795747782,1.42980893612205e-307,3.97928825185823e-304
"Montipora_capitata_HIv3___TS.g6402.t1a",8738.85598511757,-9.07383243239025,0.244358029200488,-37.1333508543951,8.1400349208194e-302,2.07665857554971e-298
"Montipora_capitata_HIv3___RNAseq.g49879.t1",9057.83242485502,-5.68515344274615,0.153974163865007,-36.9227752243581,1.99240105413469e-298,4.69195122086766e-295
"Montipora_capitata_HIv3___RNAseq.g24646.t1",3504.64592918071,-7.29632635097506,0.202818697336112,-35.9746238724903,2.08636554123806e-283,4.56228533424729e-280
"Montipora_capitata_HIv3___TS.g46148.t1",5036.48349193605,-5.39846549484659,0.150376175963684,-35.8997391724493,3.08349623743024e-282,6.29321025417929e-279
"Montipora_capitata_HIv3___RNAseq.g19137.t1",31278.1449950683,-9.93931719347513,0.278778981097618,-35.653036517824,2.11433122166418e-278,4.0455085012517e-275
"Montipora_capitata_HIv3___RNAseq.g34621.t1",3125.33266912495,-7.14557971830249,0.200880492646596,-35.571297263162,3.89368923774135e-277,7.01184719554198e-274
"Montipora_capitata_HIv3___RNAseq.g5539.t1",27990.683240617,-4.94016728360757,0.139540252664241,-35.4031699762971,1.52608300357068e-274,2.59552805951737e-271
"Montipora_capitata_HIv3___RNAseq.g33118.t1",18243.0950391543,-9.74056529899172,0.284037364234897,-34.2932533725962,9.89225413958171e-258,1.59390246436397e-254
"Montipora_capitata_HIv3___RNAseq.g34226.t1",51355.8128479018,-9.15366988258551,0.269968179145148,-33.9064770950804,5.34725622518511e-252,8.18504510389085e-249
"Montipora_capitata_HIv3___RNAseq.g20129.t1",22056.5176882677,-7.76599710217037,0.233679741432486,-33.2335060564679,3.53381063624648e-242,5.15162280085951e-239
"Montipora_capitata_HIv3___RNAseq.g23027.t1",2222.46852923477,-5.84559602008618,0.176168907840365,-33.1817690859681,1.97271236917909e-241,2.74511893045676e-238
"Montipora_capitata_HIv3___TS.g10140.t1",22466.5009421146,-8.46486602280194,0.25522340927677,-33.1664953727753,3.27579697759387e-241,4.36022820313298e-238
"Montipora_capitata_HIv3___TS.g8010.t1",4922.11172264558,-8.11759720339599,0.254757602014357,-31.864003818573,8.42206663289061e-223,1.0743047829138e-219
"Montipora_capitata_HIv3___RNAseq.g6651.t1",2366.26105926419,-6.32039637612559,0.198598418261438,-31.825008635292,2.91909796348695e-222,3.57461060216758e-219
"Montipora_capitata_HIv3___RNAseq.g44097.t3c",6139.91684501994,-3.91375429305868,0.124165033136449,-31.5205834863163,4.53816393236051e-218,5.34351348558787e-215
"Montipora_capitata_HIv3___RNAseq.g10493.t1",92484.5808988831,-8.94142075516705,0.285154883772557,-31.3563654841656,7.96716533034645e-216,9.03358516382319e-213
"Montipora_capitata_HIv3___TS.g203.t1",3249.18328827274,-7.35346594359053,0.242990982573948,-30.2622997186848,3.59458495821762e-201,3.93016513967408e-198
"Montipora_capitata_HIv3___TS.g46731.t1",8378.01429115439,-3.64073662170645,0.121270392627118,-30.0216445484842,5.12157140609308e-198,5.40661334572874e-195
"Montipora_capitata_HIv3___RNAseq.g26951.t1",1203.58759055315,-7.55955480484145,0.253978801402281,-29.7645109084036,1.12549114150991e-194,1.14852619353948e-191
"Montipora_capitata_HIv3___RNAseq.g27007.t1",48241.4088575686,-6.32416027055466,0.21345951333061,-29.6269778370555,6.71539275300935e-193,6.63177528195575e-190
"Montipora_capitata_HIv3___TS.g19150.t1",2014.39064986034,-5.21872929132959,0.179890801740465,-29.0105399544487,4.84473587300374e-185,4.63489825050427e-182
"Montipora_capitata_HIv3___TS.g21346.t1",3762.85108767322,-6.35558562940545,0.223123974750289,-28.4845482719567,1.82033324827608e-178,1.68871763826436e-175
"Montipora_capitata_HIv3___RNAseq.g466.t1a",2957.44854527045,-5.00408009561339,0.178011669390477,-28.11096661667,7.19489332484044e-174,6.47836659549015e-171
"Montipora_capitata_HIv3___RNAseq.g37352.t1",2307.28809279267,-6.27087845620256,0.22450009923488,-27.9326311105178,1.0716998177103e-171,9.37400520553806e-169
"Montipora_capitata_HIv3___RNAseq.g3501.t1",6726.58983563563,-4.26829458432271,0.153759450949207,-27.759559220413,1.33596186686222e-169,1.13608712755889e-166
"Montipora_capitata_HIv3___RNAseq.g467.t1",86420.8521595772,-5.85585127440568,0.211173071769563,-27.7301041526531,3.02810293806039e-169,2.50546873907516e-166
"Montipora_capitata_HIv3___RNAseq.g9328.t1",3259.91586957418,-7.03193689863779,0.256485635229074,-27.4164940752233,1.74404043737547e-165,1.40505405131086e-162
"Montipora_capitata_HIv3___RNAseq.g15050.t1",1476.88718660169,-6.90761564689905,0.252047761517919,-27.4059789513661,2.32755800346461e-165,1.82707335174528e-162
"Montipora_capitata_HIv3___TS.g40290.t1b",1692.47107631965,-7.44682327958537,0.274861249808057,-27.0930270628752,1.18971857141633e-161,9.10551108633488e-159
"Montipora_capitata_HIv3___RNAseq.g7453.t1",5051.74834811383,-2.58545751973208,0.0963887800405731,-26.8232206968879,1.73224113013398e-158,1.29343487702248e-155
"Montipora_capitata_HIv3___TS.g15576.t1",2644.86313119716,-5.31445390170096,0.199645932882362,-26.619394770403,4.04850550570752e-156,2.95097494170785e-153
"Montipora_capitata_HIv3___RNAseq.g21291.t1",2214.39183974642,-6.71309412391154,0.253176526516816,-26.515468144973,6.42840859467248e-155,4.57672792365821e-152
"Montipora_capitata_HIv3___TS.g17623.t1",8854.25517755435,-6.15208735752704,0.233278475164451,-26.3722889700394,2.84957149333314e-153,1.98265412947502e-150
"Montipora_capitata_HIv3___RNAseq.g27761.t1",3808.31661605024,-6.01800709950464,0.228327967717482,-26.3568548332674,4.28305601934489e-153,2.91381059947165e-150
"Montipora_capitata_HIv3___RNAseq.g39583.t1",18682.7090204673,-4.10114635426659,0.15706974941839,-26.1103514168236,2.78139813542797e-150,1.85108092430417e-147
"Montipora_capitata_HIv3___RNAseq.g753.t1",2351.09613439404,-6.47130600318168,0.250417219584093,-25.842096697382,2.98541803896164e-147,1.94458697542067e-144
"Montipora_capitata_HIv3___RNAseq.g22788.t1",7205.22424123372,-4.84096845979616,0.188864738977924,-25.6319336578863,6.72398037762179e-145,4.28849865167737e-142
"Montipora_capitata_HIv3___TS.g49549.t1",2220.89824965587,-5.83928757399773,0.229638668905172,-25.4281545953788,1.23167020984826e-142,7.69517383761113e-140
"Montipora_capitata_HIv3___RNAseq.g2633.t1",3211.68718971628,-7.38710607322,0.291356188165953,-25.3542103214654,8.07527507206444e-142,4.94432942112361e-139
"Montipora_capitata_HIv3___RNAseq.g8952.t1",3397.35521607696,-4.53200310914459,0.181044252964051,-25.032570959568,2.70304717637677e-138,1.62257031877644e-135
"Montipora_capitata_HIv3___RNAseq.g24915.t1",32172.8378142673,-6.21657041644459,0.252624082132906,-24.6079881377819,1.03745457553778e-133,6.10781430298341e-131
"Montipora_capitata_HIv3___RNAseq.g23527.t1",904.517414579367,-4.25897431870177,0.174103067427292,-24.4623738204979,3.71646929826298e-132,2.14671681315137e-129
"Montipora_capitata_HIv3___RNAseq.g27798.t1",27644.0068618698,-4.19380059234559,0.173933616000537,-24.1115012082118,1.89355039371211e-128,1.07350281024264e-125
"Montipora_capitata_HIv3___RNAseq.g49878.t1",1457.53773081004,-6.23704745498193,0.260222486586172,-23.9681341024945,5.97946355968139e-127,3.32827813483793e-124
"Montipora_capitata_HIv3___RNAseq.g45944.t1",1934.87775554578,-6.19300350428987,0.260113419982082,-23.8088580924294,2.70383018092236e-125,1.47812602069209e-122
"Montipora_capitata_HIv3___TS.g33752.t1",1561.567233588,-5.12386437892243,0.216007224816818,-23.7208009281525,2.19996204965509e-124,1.18157259979194e-121
"Montipora_capitata_HIv3___RNAseq.g27643.t1",10965.9234957898,-3.62387267588222,0.152812383901904,-23.7145222353741,2.55389543235225e-124,1.3480164614833e-121
"Montipora_capitata_HIv3___RNAseq.g26550.t1",3404.34565875254,-3.93939367622547,0.166515112280554,-23.6578747854919,9.79395822687052e-124,5.08190232470193e-121
"Montipora_capitata_HIv3___RNAseq.g40840.t1",1598.22861407434,-7.71507068783019,0.326503962751552,-23.6293324675537,1.9255791048139e-123,9.82494645246214e-121
"Montipora_capitata_HIv3___RNAseq.g14925.t1",1777.53292206972,-7.28798721780989,0.312679185064785,-23.3081943599791,3.66130760604091e-120,1.83749624674322e-117
"Montipora_capitata_HIv3___RNAseq.g49822.t1",1432.08484752549,-6.26462878948078,0.269305008504972,-23.2622067604997,1.07040115585782e-119,5.28536467506956e-117
"Montipora_capitata_HIv3___RNAseq.g34400.t1",2458.18161983623,-4.14215879972837,0.178089166766967,-23.258903811642,1.15604349211802e-119,5.61763737582559e-117
"Montipora_capitata_HIv3___RNAseq.g31728.t1",1763.99281568098,-3.81269018043313,0.164221105044678,-23.2168099185294,3.08015538183449e-119,1.47337307592939e-116
"Montipora_capitata_HIv3___RNAseq.g836.t1",9740.92432602939,-4.59153073114315,0.19822829747279,-23.1628419841189,1.07920062735922e-118,5.08286892399618e-116
"Montipora_capitata_HIv3___TS.g40836.t1",1478.85876401193,-5.59791210981111,0.244475316581934,-22.897657677989,4.90268473370811e-116,2.2741028854203e-113
"Montipora_capitata_HIv3___RNAseq.g47806.t1",8413.11925000853,-4.00519288865287,0.176515456691197,-22.6903239168438,5.58250712249057e-114,2.55078914996905e-111
"Montipora_capitata_HIv3___TS.g30192.t1",6085.05964143151,-4.16070341983313,0.185417002017125,-22.4397081959552,1.61299671105452e-111,7.26180607532693e-109
"Montipora_capitata_HIv3___RNAseq.40085_t",2408.3781279934,-3.63618254945983,0.162111247266796,-22.4301682379603,1.99879736648837e-111,8.86828733009781e-109
"Montipora_capitata_HIv3___TS.g32291.t1",2899.51766057623,-5.0582743241573,0.225643803245859,-22.4170761678124,2.68236500507805e-111,1.17311317522085e-108
"Montipora_capitata_HIv3___RNAseq.g44975.t2",2512.32897014198,-2.89616360569688,0.12926776967788,-22.4043751424952,3.56763377491972e-111,1.53830338570975e-108
"Montipora_capitata_HIv3___RNAseq.g9033.t1",8500.59736928537,-4.72090440948318,0.210810325435246,-22.3940852979391,4.49445644233997e-111,1.9110179100805e-108
"Montipora_capitata_HIv3___RNAseq.g15792.t1",1591.80945653412,-4.44066936494294,0.198587767491174,-22.361243197622,9.38615803638398e-111,3.93627180994328e-108
"Montipora_capitata_HIv3___RNAseq.g47604.t1",1688.78916390658,-4.25050538381653,0.190387667818631,-22.3255289195815,2.08802981883844e-110,8.63823579377296e-108
"Montipora_capitata_HIv3___RNAseq.g47417.t1",49689.1569354878,-5.65291584793194,0.254326643793171,-22.2269903130131,1.88346520931248e-109,7.68805385571895e-107
"Montipora_capitata_HIv3___RNAseq.g15092.t1",746.73931212149,-6.88474824231721,0.309903216359798,-22.2158011884717,2.41633698638048e-109,9.73338690803315e-107
"Montipora_capitata_HIv3___RNAseq.g33841.t1",49615.433971222,-9.91310073563965,0.446676235239427,-22.193033686527,4.01008769459498e-109,1.5943483724978e-106
"Montipora_capitata_HIv3___RNAseq.g42234.t1",3514.74320782431,-4.56661873872658,0.2060184580299,-22.1660660039685,7.30205018845031e-109,2.82968309454706e-106
"Montipora_capitata_HIv3___RNAseq.g5045.t1",10194.9934154885,-2.91291274489587,0.131410963389181,-22.1664362680998,7.24224435459768e-109,2.82968309454706e-106
"Montipora_capitata_HIv3___RNAseq.g44412.t1",3795.06621279591,-7.99478906562098,0.361357509728088,-22.1243196845054,1.84398292834722e-108,7.05646167105273e-106
"Montipora_capitata_HIv3___TS.20856_t",486.301051316268,-5.31700968796517,0.240479874219232,-22.1099986234937,2.53277095150396e-108,9.57262344559781e-106
"Montipora_capitata_HIv3___RNAseq.g9716.t1",2443.75600846392,-3.46401838593601,0.158365409403232,-21.8735795840105,4.63727932330496e-106,1.7312886488251e-103
"Montipora_capitata_HIv3___RNAseq.g22819.t1",15167.4283214851,-3.29978528965297,0.151459068503417,-21.7866471929249,3.10574117877239e-105,1.14553205357757e-102
"Montipora_capitata_HIv3___RNAseq.g12163.t1",681.192520541991,-6.12077553960408,0.28097357187834,-21.7841681645929,3.27845525687553e-105,1.19484082421414e-102
"Montipora_capitata_HIv3___TS.g992.t1",1815.26891998849,-7.51405517768188,0.346430349924656,-21.6899448310925,2.5529300038885e-104,9.19475283988737e-102
"Montipora_capitata_HIv3___RNAseq.g6157.t1",2782.9048110378,-3.00539412826923,0.138727196202711,-21.6640587464745,4.47973353844168e-104,1.59468095983551e-101
"Montipora_capitata_HIv3___RNAseq.g47366.t1",3281.27514155058,-5.91830746480869,0.273833413177307,-21.6128024558368,1.36130379422091e-103,4.79022463865274e-101
"Montipora_capitata_HIv3___RNAseq.g31405.t1",11082.2386373592,-7.54307124073902,0.349276596074944,-21.596268760935,1.94722981830678e-103,6.77414700655042e-101
"Montipora_capitata_HIv3___TS.g48861.t1",2154.84619959428,-3.97853022873931,0.185582427213394,-21.4380762687437,5.90027133100507e-102,2.02956074749876e-99
"Montipora_capitata_HIv3___RNAseq.g34051.t1",5745.06369510947,-4.54436623472054,0.212217834393664,-21.4136867794567,9.96120510881124e-102,3.38835925779053e-99
"Montipora_capitata_HIv3___RNAseq.18418_t",931.698185634403,-3.64924694407334,0.170606271424161,-21.3898757273735,1.66000341884376e-101,5.5845433697234e-99
"Montipora_capitata_HIv3___RNAseq.g38072.t1",4016.90629920792,-4.5829835793636,0.215287243176883,-21.2877619302234,1.47401055929087e-100,4.90493035457942e-98
"Montipora_capitata_HIv3___RNAseq.g17209.t1",698.686205354892,-5.73964608727616,0.271514296638152,-21.1393880850606,3.45528564127304e-99,1.13742058733261e-96
"Montipora_capitata_HIv3___RNAseq.g39394.t1",18600.3910825906,-2.63628803046415,0.124866678927653,-21.1128225168189,6.06408717348812e-99,1.97495707158687e-96
"Montipora_capitata_HIv3___RNAseq.g28804.t1",977.435399389215,-5.77296623131113,0.274132603458453,-21.0590282165619,1.89012200181516e-98,6.09096789090203e-96
"Montipora_capitata_HIv3___RNAseq.g35149.t1",7610.30501813931,-3.20719022149184,0.153109791109025,-20.9469962584436,1.9984563560478e-97,6.37299405042159e-95
"Montipora_capitata_HIv3___RNAseq.g33013.t1",14017.6989332365,-3.68465214700689,0.176279287849521,-20.9023543943078,5.096812753229e-97,1.60859614048817e-94
"Montipora_capitata_HIv3___RNAseq.g39764.t1",24234.0804003163,-6.36097666550208,0.304642772908252,-20.88011675044,8.11932381212147e-97,2.53637733861517e-94
"Montipora_capitata_HIv3___TS.g35874.t1",1686.74475514671,-8.07612411919063,0.389946202442484,-20.7108674699347,2.76433568610649e-95,8.54821946408729e-93
"Montipora_capitata_HIv3___RNAseq.g39299.t2",2303.8201841971,4.51230659322239,0.218356746680857,20.6648370696666,7.17989807996507e-95,2.19805399820051e-92
"Montipora_capitata_HIv3___RNAseq.g23115.t1",1124.3026650165,-7.62155518587646,0.36975282345914,-20.6125679165198,2.11697550827338e-94,6.41674140695853e-92
"Montipora_capitata_HIv3___RNAseq.29109_t",6271.27332819473,-11.6472583333678,0.567929989673721,-20.5082643021884,1.81662132515871e-93,5.45235737729499e-91
"Montipora_capitata_HIv3___TS.g46109.t1b",2142.01819583504,-2.99780129675431,0.146313394343751,-20.4889054088324,2.70404348079939e-93,8.03704729331966e-91
"Montipora_capitata_HIv3___RNAseq.g22881.t1",12696.6582024077,-3.63102534526437,0.177466194182999,-20.46037760589,4.85608001377349e-93,1.42946186097751e-90
"Montipora_capitata_HIv3___RNAseq.g35629.t1",31630.5949418714,-3.12747308328452,0.154258706444978,-20.274207889848,2.17261516720505e-91,6.33451816464908e-89
"Montipora_capitata_HIv3___TS.g5234.t2",1327.78353644972,-4.70969638371662,0.232537172257824,-20.2535204930366,3.30737285748416e-91,9.55206723198304e-89
"Montipora_capitata_HIv3___RNAseq.g37862.t1",2683.1732434902,-3.55029111061619,0.176402493964998,-20.1260822951894,4.36144061774413e-90,1.24786115020204e-87
"Montipora_capitata_HIv3___RNAseq.g23204.t1b",854.14844631451,-3.99012500007609,0.19844596873896,-20.1068584332131,6.42675427115464e-90,1.82174680793637e-87
"Montipora_capitata_HIv3___RNAseq.g3011.t1",11962.4817680724,-2.74567146737245,0.13718719114374,-20.0140511988151,4.15471379695759e-89,1.16690282734e-86
"Montipora_capitata_HIv3___RNAseq.g20143.t1",713.469123606,-5.59729710016566,0.288199422277585,-19.4216111050164,5.06749851326257e-84,1.41033090440928e-81
"Montipora_capitata_HIv3___RNAseq.g22996.t1",8391.70763517985,-3.11417849419494,0.160366727929692,-19.4191060352635,5.32080695756319e-84,1.46748814593549e-81
"Montipora_capitata_HIv3___TS.g20876.t1",1886.47343067729,-3.33139384340655,0.172073188767621,-19.3603307247678,1.66811116883587e-83,4.5596031538162e-81
"Montipora_capitata_HIv3___TS.g46051.t1",2737.55818982784,-3.55429642124889,0.183826565603151,-19.3350531768188,2.72387026640889e-83,7.3795189677736e-81
"Montipora_capitata_HIv3___RNAseq.g14271.t2",1910.6538419476,-4.62725059108888,0.239613094169313,-19.31134275917,4.31214479793034e-83,1.1580000074021e-80
"Montipora_capitata_HIv3___RNAseq.g27742.t1",973.073437363891,-5.45292418003934,0.282714038717304,-19.2877729198723,6.80418376205541e-83,1.81133288427447e-80
"Montipora_capitata_HIv3___RNAseq.g37611.t1",14934.4553249423,-4.47587067819054,0.232362399478027,-19.2624567840796,1.10985618926819e-82,2.92906356709107e-80
"Montipora_capitata_HIv3___RNAseq.g10277.t1b",798.202635724038,-4.46692218414974,0.232796974005591,-19.188059480715,4.65707198249757e-82,1.21856069805283e-79
"Montipora_capitata_HIv3___RNAseq.g11984.t1",8971.07010797001,4.35540074007861,0.22700690044847,19.1862041703322,4.82630508836656e-82,1.25213986419707e-79
"Montipora_capitata_HIv3___TS.g38868.t1",1947.25134591382,-2.67963120609201,0.139925454087345,-19.1504199401728,9.60094269034372e-82,2.46994335732926e-79
"Montipora_capitata_HIv3___RNAseq.g23037.t1",3602.20910174199,-5.01220969979195,0.26360014969627,-19.014441780732,1.29507962364221e-80,3.30396396651521e-78
"Montipora_capitata_HIv3___RNAseq.g34645.t1",730.527469878453,-7.27077606231559,0.382970024280916,-18.9852354005188,2.25921516079809e-80,5.71600106881592e-78
"Montipora_capitata_HIv3___RNAseq.g42354.t1",8352.2463978758,-3.09129184467282,0.163091597373685,-18.9543293121954,4.06705660112093e-80,1.02056451464521e-77
"Montipora_capitata_HIv3___RNAseq.g28176.t1",2108.92503127862,-6.00438889732473,0.316889521293611,-18.947893489231,4.5961696780189e-80,1.1439604757957e-77
"Montipora_capitata_HIv3___RNAseq.g9521.t1",780.34596758586,-6.45140696620396,0.341470681853982,-18.8930040235861,1.30220188405329e-79,3.21496842567801e-77
"Montipora_capitata_HIv3___RNAseq.g33012.t1",10768.597313163,-4.06015399096617,0.215430334233288,-18.8467144398033,3.12668715469967e-79,7.65763204431805e-77
"Montipora_capitata_HIv3___RNAseq.g496.t1",719.316943247822,-6.57583351603956,0.350906721933955,-18.7395484469438,2.35618573456355e-78,5.72478333951814e-76
"Montipora_capitata_HIv3___RNAseq.g8690.t1",1570.38988608556,-3.1579758739916,0.168550408375249,-18.7360915018425,2.51432195386621e-78,6.06090175556379e-76
"Montipora_capitata_HIv3___RNAseq.g17222.t2",11498.0482610287,-3.47791710715478,0.185736334667393,-18.7250228307933,3.09538769227561e-78,7.4032967821348e-76
"Montipora_capitata_HIv3___RNAseq.g50321.t2",13484.2621190668,-2.10768243175495,0.112772098069078,-18.6897509919865,5.99923477780395e-78,1.42372537587357e-75
"Montipora_capitata_HIv3___RNAseq.g28398.t1",1040.66163840506,-6.55457496938162,0.353398770098551,-18.5472489549236,8.58341019023096e-77,2.02132707356716e-74
"Montipora_capitata_HIv3___RNAseq.g34519.t1",1427.88174500495,-10.1362650610557,0.547090559791576,-18.5275817314728,1.23723685451092e-76,2.89135641709903e-74
"Montipora_capitata_HIv3___RNAseq.g24514.t1",1650.76744009279,-4.63622698371975,0.252493707812985,-18.361752551686,2.65886163774146e-75,6.16654471044069e-73
"Montipora_capitata_HIv3___RNAseq.g41377.t1b",1347.66239460681,-4.82261905828301,0.262733067836394,-18.3555846167263,2.97864099060054e-75,6.85624926964248e-73
"Montipora_capitata_HIv3___RNAseq.g20918.t1",2372.24337276237,2.85326567406101,0.155457385562125,18.3540052712437,3.06651352780233e-75,7.00583918956272e-73
"Montipora_capitata_HIv3___RNAseq.g7138.t1",2658.11484317456,-2.0593934181144,0.112271438241441,-18.3429859844286,3.75589134689747e-75,8.51724871806809e-73
"Montipora_capitata_HIv3___RNAseq.g41430.t1b",1247.03346670383,-4.58782181423244,0.250640692741715,-18.3043773301416,7.63599302163411e-75,1.71888448797284e-72
"Montipora_capitata_HIv3___RNAseq.g20864.t1",2186.36183926357,-3.51774626581872,0.193938311352708,-18.1384804337145,1.58349087759214e-73,3.53846640340189e-71
"Montipora_capitata_HIv3___RNAseq.g35580.t1",6459.81000596879,-2.39213167631393,0.132393260078433,-18.0683795753408,5.65503770771489e-73,1.2545168433622e-70
"Montipora_capitata_HIv3___RNAseq.g24158.t1b",635.095507730998,-4.48756717031355,0.249345896182958,-17.9973572415276,2.04339517050739e-72,4.50046760790743e-70
"Montipora_capitata_HIv3___RNAseq.g20131.t1c",4034.58451455416,-3.98738684294413,0.222119921546174,-17.9515048231062,4.67074825706995e-72,1.021359193871e-69
"Montipora_capitata_HIv3___RNAseq.g45284.t1",4283.71841369418,-4.3613436200463,0.243755019099787,-17.892323350523,1.35345610408358e-71,2.93863157236983e-69
"Montipora_capitata_HIv3___RNAseq.g12101.t1",1307.07828243661,-6.15244669744875,0.34407276454312,-17.8812371435976,1.65131828380677e-71,3.56010267186342e-69
"Montipora_capitata_HIv3___TS.g40689.t1a",2682.01334745747,-2.94260657809182,0.164854864407188,-17.8496800120113,2.90697212995804e-71,6.22335977528221e-69
"Montipora_capitata_HIv3___TS.g17819.t1",18011.7604950007,-3.67188419595244,0.20588370238082,-17.8347491981692,3.79749814747926e-71,8.07337557548126e-69
"Montipora_capitata_HIv3___RNAseq.g45343.t1",1369.46887282678,-2.54271866937894,0.142857145771163,-17.7990303225854,7.19030849335295e-71,1.51809727045177e-68
"Montipora_capitata_HIv3___RNAseq.g33977.t1",1531.33694337689,-3.65560158059589,0.205527203724005,-17.786460937331,8.99869881199798e-71,1.88689154404456e-68
"Montipora_capitata_HIv3___RNAseq.g5214.t1",1719.70123994863,-4.47373419303602,0.253025206754746,-17.6809822642388,5.87634526026338e-70,1.22379886937213e-67
"Montipora_capitata_HIv3___RNAseq.g20074.t1",1907.63773742771,-4.25352598743702,0.241113850991191,-17.6411515553804,1.19010767380008e-69,2.4617538057916e-67
"Montipora_capitata_HIv3___RNAseq.g20496.t1",2204.93779131822,-6.42263592874386,0.364778464148538,-17.606949313018,2.17875625351569e-69,4.47653986208922e-67
"Montipora_capitata_HIv3___RNAseq.g30560.t1",10348.6046529789,-2.52543390273957,0.143479353083826,-17.601375030344,2.4041571835383e-69,4.9067245344561e-67
"Montipora_capitata_HIv3___RNAseq.g24569.t1",6018.95471012926,5.53044324242757,0.315692887009512,17.5184284157183,1.0364922752048e-68,2.10140228563707e-66
"Montipora_capitata_HIv3___TS.g13273.t1",630.164012462084,-7.12650413478067,0.40845866232769,-17.4473081172248,3.60842295085791e-68,7.26764869852395e-66
"Montipora_capitata_HIv3___RNAseq.g44306.t1",53017.1376715157,-2.58344771483365,0.14810466467982,-17.4433919446,3.86442482310852e-68,7.73238572121858e-66
"Montipora_capitata_HIv3___RNAseq.g27851.t1",1113.19154308619,-4.27246164926194,0.245860998857792,-17.3775493840451,1.22059075119968e-67,2.42643930241733e-65
"Montipora_capitata_HIv3___RNAseq.g45070.t1",1679.51471591217,-3.40800245818054,0.196607710854092,-17.3340223706166,2.60458156198097e-67,5.1443006411926e-65
"Montipora_capitata_HIv3___RNAseq.g37424.t1",1797.93353355151,-3.48391698582475,0.201081429520195,-17.3259012238863,2.99959339637901e-67,5.88650975876584e-65
"Montipora_capitata_HIv3___RNAseq.g27094.t1",848.021709429218,-3.14136737881,0.18165257599713,-17.2932718491128,5.28646827650219e-67,1.03082764214547e-64
"Montipora_capitata_HIv3___RNAseq.g45295.t1",822.564412117804,-5.18265657815,0.300712860606611,-17.2345691092005,1.46138207343357e-66,2.83156650608198e-64
"Montipora_capitata_HIv3___RNAseq.g23475.t1",1792.4600755362,-2.8114964591336,0.163246755480006,-17.2223726644169,1.80437079262477e-66,3.4741514116613e-64
"Montipora_capitata_HIv3___RNAseq.g2632.t1",1988.31208694538,-9.03781781089693,0.525049990697965,-17.2132520160275,2.1122965308069e-66,4.04161537463265e-64
"Montipora_capitata_HIv3___RNAseq.g27011.t1",14294.6640697776,-5.40414527707313,0.314245159005088,-17.1972268218319,2.78547464012349e-66,5.29655407656773e-64
"Montipora_capitata_HIv3___TS.g38041.t1",557.537594969697,-4.8755563579488,0.284053107147114,-17.1642423028441,4.91859841049546e-66,9.2949365270931e-64
"Montipora_capitata_HIv3___RNAseq.g28769.t1",1331.49598481693,-4.45430953006417,0.260845419329353,-17.0764337802689,2.22297104106725e-65,4.17509419946213e-63
"Montipora_capitata_HIv3___TS.g18865.t1",1028.12178551268,-5.95115293550534,0.348783153275702,-17.0626157817925,2.8165573028719e-65,5.25768812622684e-63
"Montipora_capitata_HIv3___RNAseq.g25262.t1",4270.64904921752,-2.68537414028552,0.157427577706178,-17.0578381463602,3.05659338369267e-65,5.671184839295e-63
"Montipora_capitata_HIv3___RNAseq.g46088.t1",5505.94550578341,-2.92647557986554,0.171971129752087,-17.0172492562231,6.11779780084141e-65,1.12825458960819e-62
"Montipora_capitata_HIv3___RNAseq.g23963.t1",1625.72972832578,-6.60426958037353,0.390415604903575,-16.9159979709434,3.42957546450924e-64,6.28700738146621e-62
"Montipora_capitata_HIv3___RNAseq.g41403.t1",1731.25695777257,-8.42385920831586,0.49840955822943,-16.9014800563639,4.38754046414489e-64,7.9952478434126e-62
"Montipora_capitata_HIv3___TS.g1453.t1",3741.07654015744,-5.21548353494021,0.308819194126798,-16.8884694802966,5.47037378473864e-64,9.90946881928926e-62
"Montipora_capitata_HIv3___RNAseq.g4964.t1",3890.21251670547,-3.45458302671997,0.204693653051443,-16.8768448616811,6.66110377947928e-64,1.19954724179399e-61
